Source,Category,Food,Energy,Protein,Fat,Carbohydrates
Plant,Grain,Oats,272.0,2.4,1.6,10.1
Plant,Grain,Barley,388.0,2.9,0.9,18
Plant,Grain,Buckwheat,304.0,2.5,0.6,14.1
Plant,Grain,Bulgur,356.0,2.9,0.4,17.2
Plant,Grain,Polenta,440.0,2.6,0.6,21.9
Plant,Grain,Quinoa,399.0,3.9,1.7,15.9
Plant,Grain,Rye,607.0,5.9,1.1,27.3
Plant,Grain,Brown_Rice,627.0,2.9,1,31.8
Animal,Dairy,Cheddar,1663.0,24.6,32.8,0.5
Animal,Dairy,Cottage_Cheese,529.0,15.4,5.7,1.8
Animal,Dairy,Edam,1510.0,28,27.2,0
Animal,Dairy,Feta,1179.0,17.6,23.2,0.2
Animal,Dairy,Gouda,1605.0,26.2,30.6,0
Animal,Dairy,Haloumi,1050.0,21.3,17.1,1.8
Animal,Dairy,Mozzarella,1213.0,22.2,22.1,0
Animal,Dairy,Parmesan,1949.0,40.6,33.3,0
Animal,Dairy,Pecorino,1512.0,28,27.2,0.2
Animal,Dairy,Quark,349.0,13.9,1.1,2.9
Animal,Dairy,Ricotta,551.0,10.2,8.7,2
Animal,Dairy,Milk,285.0,3.2,4.1,4.8
Animal,Dairy,Yoghurt,324.0,5.3,3.9,4.2
Animal,Egg,Chicken_Egg,539.0,13,8.4,0.4
Plant,Fruit,Green_Apple,183.0,0.3,0,10.8
Plant,Fruit,Red_Apple,224.0,0.3,0.2,12.8
Plant,Fruit,Apricot,151.0,0.8,0.1,7
Plant,Fruit,Banana,366.0,1.4,0.3,19.6
Plant,Fruit,Blackberry,162.0,1.4,0.3,7.5
Plant,Fruit,Blueberry,204.0,0.6,0.1,11.3
Plant,Fruit,Cherry,238.0,0.8,0.2,12.9
Plant,Fruit,Dried_Date,1135.0,2,0.2,67.2
Plant,Fruit,Dried_Fig,968.0,3.6,0.7,54.5
Plant,Fruit,Fig,169.0,1.4,0.3,8.1
Plant,Fruit,Grape,272.0,0.7,0.1,15.5
Plant,Fruit,Grapefruit,111.0,0.9,0.2,4.8
Plant,Fruit,Kiwi,230.0,1.2,0.5,11.1
Plant,Fruit,Lemon,95.0,0.6,0.2,1.8
Plant,Fruit,Mango,236.0,1,0.2,12.6
Plant,Fruit,Honey_Dew_Melon,120.0,0.8,0.3,5.8
Plant,Fruit,Watermelon,96.0,0.4,0.2,5
Plant,Fruit,Nectarine,164.0,1.2,0.1,8
Plant,Fruit,Orange,157.0,1,0.1,8
Plant,Fruit,Peach,149.0,0.9,0.1,7.6
Plant,Fruit,Pear,219.0,0.3,0,13.2
Plant,Fruit,Pineapple,163.0,0.6,0.2,8.2
Plant,Fruit,Plum,146.0,0.6,0.1,7.1
Plant,Fruit,Raspberry,159.0,1.1,0.2,6.8
Plant,Fruit,Strawberry,88.0,0.7,0.2,3.9
Plant,Legume,Cannellini_Bean,336.0,6.2,0.6,12.2
Plant,Legume,Lima_Bean,296.0,6.4,0.3,10.2
Plant,Legume,Kidney_Bean,308.0,7.9,0.5,9.1
Plant,Legume,Soy_Bean,539.0,13.5,7.7,1.4
Plant,Legume,Chickpea,412.0,6.3,2.1,13.3
Plant,Legume,Green_Lentil,546.0,10,0.8,20.2
Plant,Legume,Red_Lentil,435.0,7.7,0.6,16.4
Animal,Meat,Beef_Steak,1033.0,25.1,16.4,0
Animal,Meat,Minced_Beef,829.0,30.7,8.3,0
Animal,Meat,Lamb_Chop,1456.0,24.9,27.9,0
Animal,Meat,Lamb_Steak,858.0,26.5,11,0
Animal,Meat,Veal_Cutlet,632.0,27.5,4.4,0
Animal,Meat,Pork_Belly,3073.0,13.5,76.8,0
Animal,Meat,Minced_Pork,842.0,25.4,11,0
Animal,Meat,Chicken_Breast,637.0,29,3.9,0
Animal,Meat,Chicken_Thigh,940.0,23.3,14.7,0
Animal,Meat,Chicken_Wing,1097.0,28.2,16.7,0
Animal,Meat,Chicken,1037.0,23.7,17.1,0
Animal,Meat,Turkey_Breast,648.0,29.4,4,0
Animal,Meat,Turkey,964.0,26,14.1,0
Animal,Organ,Beef_Heart,627.0,31.2,2.6,0
Animal,Organ,Beef_Liver,922.0,26.2,11.7,2.6
Animal,Organ,Beef_Kidney,566.0,27.4,2.7,0
