Instance,HiGHS,SCIP
30n20b8,537,69
50v-10,5508,timeout
academictimetablesmall,timeout,timeout
air05,22,24
app1-1,23,3
app1-2,2860,549
assign1-5-8,timeout,timeout
atlanta-ip,timeout,timeout
b1c1s1,timeout,timeout
bab2,timeout,timeout
bab6,timeout,timeout
beasleyC3,15,5
binkar10_1,26,28
blp-ar98,1930,timeout
blp-ic98,1027,timeout
bnatt400,3710,111
bnatt500,timeout,353
bppc4-08,timeout,timeout
brazil3,2371,7198
buildingenergy,timeout,timeout
cbs-cta,44,16
chromaticindex1024-7,timeout,timeout
chromaticindex512-7,1778,2444
cmflsp50-24-8-8,timeout,timeout
CMS750_4,540,565
co-100,timeout,2901
cod105,76,43
comp07-2idx,1759,timeout
comp21-2idx,timeout,timeout
cost266-UUE,2252,1737
cryptanalysiskb128n5obj14,2251,timeout
cryptanalysiskb128n5obj16,2490,1607
csched007,1152,965
csched008,timeout,467
cvs16r128-89,timeout,timeout
dano3_3,67,52
dano3_5,290,196
decomp2,3,1
drayage-100-23,1,4
drayage-25-23,1,7
dws008-01,timeout,timeout
eil33-2,46,51
eilA101-2,2211,timeout
enlight_hard,14,1
ex10,32,17
ex9,2,2
exp-1-500-5-5,3,2
fast0507,226,129
fastxgemm-n2r6s0t2,5128,366
fhnw-binpack4-4,timeout,timeout
fhnw-binpack4-48,timeout,30
fiball,17,440
gen-ip002,1540,681
gen-ip054,771,558
germanrr,timeout,timeout
gfd-schedulen180f7d50m30k18,timeout,timeout
glass-sc,4977,1927
glass4,1340,102
gmu-35-40,6407,timeout
gmu-35-50,timeout,timeout
graph20-20-1rand,3469,10
graphdraw-domain,1116,556
h80x6320d,13,27
highschool1-aigio,timeout,timeout
hypothyroid-k1,7,11
ic97_potential,timeout,timeout
icir97_tension,831,1890
irish-electricity,timeout,timeout
irp,13,8
istanbul-no-cutoff,356,60
k1mushroom,191,607
lectsched-5-obj,timeout,timeout
leo1,6633,timeout
leo2,timeout,timeout
lotsize,1310,timeout
mad,timeout,timeout
map10,710,466
map16715-04,3363,882
markshare_4_0,148,90
markshare2,timeout,timeout
mas74,1186,985
mas76,102,69
mc11,30,100
mcsched,334,125
mik-250-20-75-4,28,21
